ID,Guardian (Guardians),Relation (Guardians)
12007-001,F12007-001,Father
12007-002,F12007-002,Father
12007-003,F12007-003,Father
12007-004,F12007-004,Father
12007-005,F12007-005,Father
12007-007,F12007-007,Father
12007-009,F12007-009,Father
12007-011,F12007-011,Father
12007-013,F12007-013,Father
12007-014,F12007-014,Father
12007-015,F12007-015,Father
12007-016,F12007-016,Father
12007-023,F12007-023,Father
12007-024,F12007-024,Father
12007-025,F12007-025,Father
12007-026,F12007-026,Father
12007-027,F12007-027,Father
12007-028,F12007-028,Father
12007-029,F12007-029,Father
12007-030,F12007-030,Father
12007-032,F12007-032,Father
12007-033,F12007-033,Father
12007-034,F12007-034,Father
12007-035,F12007-035,Father
12007-036,F12007-036,Father
12007-037,F12007-037,Father
12007-038,F12007-038,Father
12007-040,F12007-040,Father
12007-041,F12007-041,Father
12007-043,F12007-043,Father
12007-044,F12007-044,Father
12007-047,F12007-047,Father
12007-049,F12007-049,Father
12007-050,F12007-050,Father
12007-051,F12007-051,Father
12007-052,F12007-052,Father
12007-054,F12007-054,Father
12007-055,F12007-055,Father
12007-056,F12007-056,Father
12007-057,F12007-057,Father
12007-060,F12007-060,Father
12007-061,F12007-061,Father
12007-062,F12007-062,Father
12007-065,F12007-065,Father
12007-066,F12007-066,Father
12007-067,F12007-067,Father
12007-069,F12007-069,Father
12008-002,F12008-002,Father
12008-003,F12008-003,Father
12008-006,F12008-006,Father
12008-008,F12008-008,Father
12008-009,F12008-009,Father
12008-011,F12008-011,Father
12008-012,F12008-012,Father
12008-013,F12008-013,Father
12008-014,F12008-014,Father
12008-016,F12008-016,Father
12008-017,F12008-017,Father
12008-019,F12008-019,Father
12008-020,F12008-020,Father
12008-021,F12008-021,Father
12008-022,F12008-022,Father
12008-023,F12008-023,Father
12107-001,F12107-001,Father
12107-002,F12107-002,Father
12107-003,F12107-003,Father
12107-005,F12107-005,Father
12107-006,F12107-006,Father
12107-009,F12107-009,Father
12107-011,F12107-011,Father
12107-012,F12107-012,Father
12107-014,F12107-014,Father
12107-016,F12107-016,Father
12107-017,F12107-017,Father
12107-021,F12107-021,Father
12107-022,F12107-022,Father
12107-023,F12107-023,Father
12107-025,F12107-025,Father
12107-029,F12107-029,Father
12107-030,F12107-030,Father
12107-032,F12107-032,Father
12107-033,F12107-033,Father
12107-034,F12107-034,Father
12107-036,F12107-036,Father
12107-037,F12107-037,Father
12107-038,F12107-038,Father
12107-039,F12107-039,Father
12107-040,F12107-040,Father
12107-041,F12107-041,Father
12107-042,F12107-042,Father
12107-043,F12107-043,Father
12107-047,F12107-047,Father
12107-048,F12107-048,Father
12107-050,F12107-050,Father
12107-051,F12107-051,Father
12107-052,F12107-052,Father
12107-054,F12107-054,Father
12107-056,F12107-056,Father
12107-058,F12107-058,Father
12107-059,F12107-059,Father
12107-061,F12107-061,Father
12107-062,F12107-062,Father
12107-063,F12107-063,Father
12107-064,F12107-064,Father
12107-065,F12107-065,Father
12107-066,F12107-066,Father
12107-068,F12107-068,Father
12107-069,F12107-069,Father
12107-070,F12107-070,Father
12108-001,F12108-001,Father
12108-002,F12108-002,Father
12108-003,F12108-003,Father
12108-004,F12108-004,Father
12108-005,F12108-005,Father
12108-006,F12108-006,Father
12108-007,F12108-007,Father
12108-009,F12108-009,Father
12108-011,F12108-011,Father
12108-013,F12108-013,Father
12108-014,F12108-014,Father
12108-016,F12108-016,Father
12108-019,F12108-019,Father
12108-020,F12108-020,Father
12108-022,F12108-022,Father
12108-024,F12108-024,Father
12108-026,F12108-026,Father
12108-027,F12108-027,Father
12108-029,F12108-029,Father
12108-030,F12108-030,Father
12108-032,F12108-032,Father
12109-001,F12109-001,Father
12109-002,F12109-002,Father
12109-003,F12109-003,Father
12109-004,F12109-004,Father
12109-005,F12109-005,Father
12109-006,F12109-006,Father
12109-007,F12109-007,Father
12109-009,F12109-009,Father
12109-010,F12109-010,Father
12109-015,F12109-015,Father
12109-016,F12109-016,Father
12110-001,F12110-001,Father
12110-012,F12110-012,Father
12110-014,F12110-014,Father
12110-018,F12110-018,Father
12110-029,F12110-029,Father
12110-030,F12110-030,Father
12110-035,F12110-035,Father
12110-039,F12110-039,Father
12110-040,F12110-040,Father
12110-042,F12110-042,Father
12110-043,F12110-043,Father
12110-062,F12110-062,Father
12110-063,F12110-063,Father
12110-064,F12110-064,Father
12110-074,F12110-074,Father
12110-079,F12110-079,Father
12110-083,F12110-083,Father
12110-088,F12110-088,Father
12110-096,F12110-096,Father
12110-097,F12110-097,Father
12110-099,F12110-099,Father
12110-100,F12110-100,Father
12110-103,F12110-103,Father
12110-107,F12110-107,Father
12110-109,F12110-109,Father
12110-113,F12110-113,Father
12110-120,F12110-120,Father
12110-126,F12110-126,Father
12110-129,F12110-129,Father
12110-133,F12110-133,Father
12110-135,F12110-135,Father
12110-138,F12110-138,Father
12110-145,F12110-145,Father
12110-148,F12110-148,Father
12110-156,F12110-156,Father
12110-161,F12110-161,Father
12110-169,F12110-169,Father
12110-183,F12110-183,Father
12110-185,F12110-185,Father
12110-188,F12110-188,Father
12110-189,F12110-189,Father
12110-199,F12110-199,Father
12110-202,F12110-202,Father
12110-214,F12110-214,Father
12110-223,F12110-223,Father
12110-227,F12110-227,Father
12110-236,F12110-236,Father
12110-244,F12110-244,Father
12110-248,F12110-248,Father
12207-001,F12207-001,Father
12207-002,F12207-002,Father
12207-003,F12207-003,Father
12207-004,F12207-004,Father
12207-005,F12207-005,Father
12207-007,F12207-007,Father
12207-008,F12207-008,Father
12207-009,F12207-009,Father
12207-010,F12207-010,Father
12207-012,F12207-012,Father
12207-013,F12207-013,Father
12207-014,F12207-014,Father
12207-016,F12207-016,Father
12207-019,F12207-019,Father
12207-020,F12207-020,Father
12207-021,F12207-021,Father
12207-023,F12207-023,Father
12207-024,F12207-024,Father
12207-025,F12207-025,Father
12207-026,F12207-026,Father
12207-027,F12207-027,Father
12207-028,F12207-028,Father
12207-029,F12207-029,Father
12207-030,F12207-030,Father
12207-031,F12207-031,Father
12207-032,F12207-032,Father
12207-034,F12207-034,Father
12207-036,F12207-036,Father
12207-038,F12207-038,Father
12207-039,F12207-039,Father
12207-040,F12207-040,Father
12207-041,F12207-041,Father
12207-043,F12207-043,Father
12207-044,F12207-044,Father
12207-045,F12207-045,Father
12207-046,F12207-046,Father
12207-047,F12207-047,Father
12207-048,F12207-048,Father
12207-049,F12207-049,Father
12207-050,F12207-050,Father
12207-052,F12207-052,Father
12207-053,F12207-053,Father
12207-055,F12207-055,Father
12207-056,F12207-056,Father
12207-058,F12207-058,Father
12207-059,F12207-059,Father
12207-061,F12207-061,Father
12207-062,F12207-062,Father
12207-063,F12207-063,Father
12207-064,F12207-064,Father
12207-065,F12207-065,Father
12207-066,F12207-066,Father
12207-067,F12207-067,Father
12207-068,F12207-068,Father
12207-070,F12207-070,Father
12207-071,F12207-071,Father
12207-072,F12207-072,Father
12207-073,F12207-073,Father
12207-074,F12207-074,Father
12207-075,F12207-075,Father
12207-076,F12207-076,Father
12208-002,F12208-002,Father
12208-004,F12208-004,Father
12208-005,F12208-005,Father
12208-007,F12208-007,Father
12208-008,F12208-008,Father
12208-009,F12208-009,Father
12208-011,F12208-011,Father
12208-012,F12208-012,Father
12208-013,F12208-013,Father
12208-014,F12208-014,Father
12208-015,F12208-015,Father
12208-016,F12208-016,Father
12208-017,F12208-017,Father
12208-019,F12208-019,Father
12208-021,F12208-021,Father
12208-023,F12208-023,Father
12208-025,F12208-025,Father
12208-026,F12208-026,Father
12208-027,F12208-027,Father
12208-029,F12208-029,Father
12208-030,F12208-030,Father
12208-031,F12208-031,Father
12208-032,F12208-032,Father
12208-032,F12208-032,Father
12208-034,F12208-034,Father
12208-036,F12208-036,Father
12208-037,F12208-037,Father
12208-039,F12208-039,Father
12208-040,F12208-040,Father
12208-041,F12208-041,Father
12208-043,F12208-043,Father
12208-044,F12208-044,Father
12208-045,F12208-045,Father
12209-001,F12209-001,Father
12209-002,F12209-002,Father
12209-003,F12209-003,Father
12209-005,F12209-005,Father
12209-008,F12209-008,Father
12209-009,F12209-009,Father
12209-011,F12209-011,Father
12209-014,F12209-014,Father
12209-015,F12209-015,Father
12209-016,F12209-016,Father
12209-018,F12209-018,Father
12209-019,F12209-019,Father
12209-020,F12209-020,Father
12209-022,F12209-022,Father
12209-023,F12209-023,Father
12209-024,F12209-024,Father
12209-025,F12209-025,Father
12209-026,F12209-026,Father
12209-028,F12209-028,Father
12209-033,F12209-033,Father
12209-034,F12209-034,Father
12209-037,F12209-037,Father
12209-038,F12209-038,Father
12209-039,F12209-039,Father
12209-040,F12209-040,Father
12210-001,F12210-001,Father
12210-002,F12210-002,Father
12210-003,F12210-003,Father
12210-006,F12210-006,Father
12210-008,F12210-008,Father
12210-009,F12210-009,Father
12210-011,F12210-011,Father
12210-012,F12210-012,Father
12210-013,F12210-013,Father
12210-014,F12210-014,Father
12210-015,F12210-015,Father
12210-016,F12210-016,Father
12210-017,F12210-017,Father
12210-018,F12210-018,Father
12210-019,F12210-019,Father
12210-020,F12210-020,Father
12210-021,F12210-021,Father
12210-023,F12210-023,Father
12210-025,F12210-025,Father
12210-027,F12210-027,Father
12210-029,F12210-029,Father
12210-030,F12210-030,Father
12210-031,F12210-031,Father
12210-032,F12210-032,Father
12210-033,F12210-033,Father
12210-034,F12210-034,Father
12210-035,F12210-035,Father
12210-036,F12210-036,Father
12210-037,F12210-037,Father
12210-038,F12210-038,Father
12210-039,F12210-039,Father
12210-040,F12210-040,Father
12210-041,F12210-041,Father
12210-044,F12210-044,Father
12210-045,F12210-045,Father
12210-046,F12210-046,Father
12210-047,F12210-047,Father
12210-049,F12210-049,Father
12210-050,F12210-050,Father
12210-053,F12210-053,Father
12210-055,F12210-055,Father
12210-056,F12210-056,Father
12210-057,F12210-057,Father
12210-058,F12210-058,Father
12210-059,F12210-059,Father
12210-061,F12210-061,Father
12210-062,F12210-062,Father
12210-063,F12210-063,Father
12210-064,F12210-064,Father
12210-065,F12210-065,Father
12210-066,F12210-066,Father
12210-067,F12210-067,Father
12210-069,F12210-069,Father
12210-070,F12210-070,Father
12210-071,F12210-071,Father
12210-073,F12210-073,Father
12210-074,F12210-074,Father
12210-076,F12210-076,Father
12210-077,F12210-077,Father
12210-078,F12210-078,Father
12210-079,F12210-079,Father
12210-080,F12210-080,Father
12210-082,F12210-082,Father
12210-083,F12210-083,Father
12210-084,F12210-084,Father
12210-085,F12210-085,Father
12210-086,F12210-086,Father
12210-087,F12210-087,Father
12210-088,F12210-088,Father
12210-089,F12210-089,Father
12210-090,F12210-090,Father
12210-091,F12210-091,Father
12210-092,F12210-092,Father
12210-093,F12210-093,Father
12210-094,F12210-094,Father
12210-096,F12210-096,Father
12210-097,F12210-097,Father
12210-098,F12210-098,Father
12210-099,F12210-099,Father
12210-100,F12210-100,Father
12210-101,F12210-101,Father
12210-102,F12210-102,Father
12210-103,F12210-103,Father
12210-104,F12210-104,Father
12210-105,F12210-105,Father
12210-106,F12210-106,Father
12210-107,F12210-107,Father
12210-109,F12210-109,Father
12210-111,F12210-111,Father
12210-112,F12210-112,Father
12210-114,F12210-114,Father
12210-115,F12210-115,Father
12210-117,F12210-117,Father
12210-118,F12210-118,Father
12210-119,F12210-119,Father
12210-121,F12210-121,Father
12210-125,F12210-125,Father
12210-126,F12210-126,Father
12210-127,F12210-127,Father
12210-128,F12210-128,Father
12210-129,F12210-129,Father
12210-130,F12210-130,Father
12210-132,F12210-132,Father
12210-134,F12210-134,Father
12210-135,F12210-135,Father
12210-136,F12210-136,Father
12210-137,F12210-137,Father
12210-139,F12210-139,Father
12210-140,F12210-140,Father
12210-141,F12210-141,Father
12210-142,F12210-142,Father
12210-143,F12210-143,Father
12210-144,F12210-144,Father
12210-145,F12210-145,Father
12210-146,F12210-146,Father
12210-147,F12210-147,Father
12210-149,F12210-149,Father
12210-150,F12210-150,Father
12210-151,F12210-151,Father
12210-152,F12210-152,Father
12210-153,F12210-153,Father
12210-154,F12210-154,Father
12210-155,F12210-155,Father
12210-156,F12210-156,Father
12210-157,F12210-157,Father
12210-158,F12210-158,Father
12210-159,F12210-159,Father
12210-160,F12210-160,Father
12210-161,F12210-161,Father
12210-162,F12210-162,Father
12210-163,F12210-163,Father
12210-164,F12210-164,Father
12210-166,F12210-166,Father
12210-167,F12210-167,Father
12210-168,F12210-168,Father
12210-169,F12210-169,Father
12210-170,F12210-170,Father
12210-171,F12210-171,Father
12210-172,F12210-172,Father
12210-173,F12210-173,Father
12210-174,F12210-174,Father
12210-176,F12210-176,Father
12210-177,F12210-177,Father
12210-178,F12210-178,Father
12210-179,F12210-179,Father
12210-180,F12210-180,Father
12210-181,F12210-181,Father
12210-183,F12210-183,Father
12210-185,F12210-185,Father
12210-186,F12210-186,Father
12210-187,F12210-187,Father
12210-188,F12210-188,Father
12210-189,F12210-189,Father
12210-190,F12210-190,Father
12210-191,F12210-191,Father
12210-192,F12210-192,Father
12210-193,F12210-193,Father
12210-194,F12210-194,Father
12210-195,F12210-195,Father
12210-197,F12210-197,Father
12210-198,F12210-198,Father
12210-199,F12210-199,Father
12210-200,F12210-200,Father
12210-202,F12210-202,Father
12210-203,F12210-203,Father
12210-204,F12210-204,Father
12210-205,F12210-205,Father
12210-207,F12210-207,Father
12210-209,F12210-209,Father
12210-210,F12210-210,Father
12210-212,F12210-212,Father
12210-213,F12210-213,Father
12210-214,F12210-214,Father
12210-215,F12210-215,Father
12210-216,F12210-216,Father
12210-217,F12210-217,Father
12210-218,F12210-218,Father
12210-219,F12210-219,Father
12210-220,F12210-220,Father
12210-221,F12210-221,Father
12210-223,F12210-223,Father
12210-225,F12210-225,Father
12210-226,F12210-226,Father
12307-001,F12307-001,Father
12307-002,F12307-002,Father
12307-003,F12307-003,Father
12307-004,F12307-004,Father
12307-005,F12307-005,Father
12307-006,F12307-006,Father
12307-007,F12307-007,Father
12307-008,F12307-008,Father
12307-009,F12307-009,Father
12307-010,F12307-010,Father
12307-011,F12307-011,Father
12307-012,F12307-012,Father
12307-014,F12307-014,Father
12307-015,F12307-015,Father
12307-016,F12307-016,Father
12307-017,F12307-017,Father
12307-018,F12307-018,Father
12307-019,F12307-019,Father
12307-020,F12307-020,Father
12307-021,F12307-021,Father
12307-022,F12307-022,Father
12307-023,F12307-023,Father
12307-024,F12307-024,Father
12307-025,F12307-025,Father
12307-026,F12307-026,Father
12307-027,F12307-027,Father
12307-028,F12307-028,Father
12307-031,F12307-031,Father
12307-032,F12307-032,Father
12307-033,F12307-033,Father
12307-034,F12307-034,Father
12307-035,F12307-035,Father
12307-036,F12307-036,Father
12307-037,F12307-037,Father
12307-038,F12307-038,Father
12307-039,F12307-039,Father
12307-040,F12307-040,Father
12307-041,F12307-041,Father
12307-042,F12307-042,Father
12307-043,F12307-043,Father
12307-044,F12307-044,Father
12307-045,F12307-045,Father
12307-047,F12307-047,Father
12307-048,F12307-048,Father
12307-049,F12307-049,Father
12307-050,F12307-050,Father
12307-051,F12307-051,Father
12307-052,F12307-052,Father
12307-053,F12307-053,Father
12307-054,F12307-054,Father
12307-055,F12307-055,Father
12307-057,F12307-057,Father
12307-058,F12307-058,Father
12307-059,F12307-059,Father
12307-060,F12307-060,Father
12307-061,F12307-061,Father
12307-062,F12307-062,Father
12307-063,F12307-063,Father
12307-064,F12307-064,Father
12307-066,F12307-066,Father
12307-067,F12307-067,Father
12307-068,F12307-068,Father
12307-069,F12307-069,Father
12307-070,F12307-070,Father
12307-071,F12307-071,Father
12307-072,F12307-072,Father
12307-073,F12307-073,Father
12307-074,F12307-074,Father
12308-002,F12308-002,Father
12308-003,F12308-003,Father
12308-004,F12308-004,Father
12308-005,F12308-005,Father
12308-006,F12308-006,Father
12308-007,F12308-007,Father
12308-008,F12308-008,Father
12308-009,F12308-009,Father
12308-010,F12308-010,Father
12308-011,F12308-011,Father
12308-012,F12308-012,Father
12308-013,F12308-013,Father
12308-014,F12308-014,Father
